Input file name: 98kd3r5.fts.gz
    0  203.41  425.36    33961.00 222.426891  0.361738 g 03261330   0.10  11.76
    1  340.29  487.03    21952.00 222.393445  0.289046 g 03261311   0.10  12.39
    2  211.92  187.61     5991.00 222.553634  0.356243 g 03270218   0.35  13.91
    3  198.20  369.38     4987.00 222.456765  0.364289 g 03260027   0.08  14.42
    4   62.06   97.30     4557.00 222.602409  0.435737 g 03270409   0.07  14.39
    5  219.05  256.28     4551.00 222.516988  0.352721 g 03270212   0.21  14.54
    6  339.95  424.35     4321.00 222.426869  0.288976
    7  251.13  269.00     3627.00 222.510071  0.335679 g 03270167   0.12  14.88
    8  332.75   64.77     2982.00 222.618637  0.291364 g 03270098   0.11  15.07
    9  254.19  111.81     1924.00 222.593878  0.333415
   10  150.39  232.54     1657.00 222.529929  0.389214 g 03270315   0.41  15.38
   11  172.09  507.79     1654.00 222.383064  0.378755
   12  161.88  187.89     1235.00 222.553690  0.382912
   13  270.87  423.58      830.00 222.427563  0.325783
   14  207.15  456.13      751.00 222.410470  0.359867
   15  187.29  212.32      635.00 222.540555  0.369467
   16  254.67  166.57      597.00 222.564672  0.333377
   17  125.45  334.01      539.00 222.475922  0.402908
   18  101.59  341.46      535.00 222.472050  0.415653
   19  154.06  533.63      509.00 222.369363  0.388467
   20   30.34  127.18      459.00 222.586604  0.452756
   21   76.44  419.02      454.00 222.430794  0.429370
   22  304.70  313.85      392.00 222.485932  0.307311
   23  241.59  283.18      387.00 222.502551  0.340816
   24  307.65   79.61      383.00 222.610826  0.304797
   25  216.87   55.35      336.00 222.624138  0.353075
   26  323.31   46.62      328.00 222.628351  0.296321
   27  111.80  356.24      304.00 222.464128  0.410274
   28   11.55  286.76      289.00 222.501588  0.463416
   29  119.04    5.10      278.00 222.651337  0.405003
   30  328.32  225.80      273.00 222.532787  0.294371
   31  117.29  182.57      267.00 222.556709  0.406650
   32  122.21  209.75      253.00 222.542198  0.404139
   33   65.48  391.34      245.00 222.445601  0.435098
   34   25.31  105.17      215.00 222.598361  0.455351
   35  163.66  206.67      208.00 222.543666  0.382038
   36  287.00  524.86      201.00 222.373493  0.317593
   37   20.04   92.32      199.00 222.605238  0.458109
   38  119.65  168.64      199.00 222.564127  0.405333
   39   58.46  250.29      182.00 222.520845  0.438272
   40  233.18  409.29      160.00 222.435336  0.345810
   41  175.99  501.91      145.00 222.386185  0.376653
   42  274.25  329.96      141.00 222.477467  0.323604
   43   47.87  198.04      137.00 222.548750  0.443703
   44  219.52  207.06      137.00 222.543230  0.352273
   45  144.58  111.15      116.00 222.594683  0.391820
   46  299.69   54.49      115.00 222.624255  0.308939
   47  178.65   48.84      109.00 222.627764  0.373412
   48   86.26  448.52      106.00 222.415025  0.424252
   49  183.31  368.20      105.00 222.457454  0.372214
   50  171.27  413.13      100.00 222.433545  0.378813
   51  106.41   65.89       99.00 222.618973  0.411974
   52   87.10   88.16       97.00 222.607175  0.422354
   53  174.08  418.63       90.00 222.430599  0.377339
   54  168.15  134.20       89.00 222.582292  0.379354
   55  305.81  243.28       85.00 222.523558  0.306436
   56  291.31  530.79       84.00 222.370313  0.315321
   57  137.17  498.86       83.00 222.387974  0.397329
   58  257.53   98.13       75.00 222.601155  0.331577
   59  329.53  289.90       73.00 222.498601  0.293983
   60  234.87   60.68       68.00 222.621222  0.343504
   61  339.00  463.10       63.00 222.406211  0.289636
   62  256.40  501.24       63.00 222.386213  0.333806
   63   32.89  400.85       61.00 222.440662  0.452504
   64  210.98  465.79       61.00 222.405303  0.357862
   65  225.41  101.74       58.00 222.599364  0.348707
   66  121.36  414.66       56.00 222.432935  0.405416
